OS-ID,Identifier,Title,Date,Date type,Date of Birth,Note,Type,File,Age,Value,Estimated Value,Relationship,Identifier,Relationship,Identifier,Location,SJ,Identifier,SJ,Identifier,Source
,,midwife,1794-10-10,pay,,By cash pd to the midwife for Monica's childe,account book,,,0.15.0,,,,,,St. Thomas,,,,,1793-MPA-46-6-StThomasAcctBook-1793-1821.json
,,midwife,1797-01-06,pay,,By do (cash paid) to a midwife,account book,,,1.2.6,,,,,,St. Thomas,,,,,1793-MPA-46-6-StThomasAcctBook-1793-1821.json
,,midwife,1797-04-05,pay,,By do to the mid wife for Betsy's child,account book,,,0.15.0,,,,,,St. Thomas,,,,,1793-MPA-46-6-StThomasAcctBook-1793-1821.json
,,midwife,1797-10-07,pay,,By do to the midwife of Lizy's child,account book,,,0.15.0,,,,,,St. Thomas,,,,,1793-MPA-46-6-StThomasAcctBook-1793-1821.json
,,midwife,1797-11-11,pay,,By do to the Midwife for Monica's child,account book,,,0.15.0,,,,,,St. Thomas,,,,,1793-MPA-46-6-StThomasAcctBook-1793-1821.json
,,midwife,1797-12-18,pay,,By Do to Midwife for Nancy's child,account book,,,0.15.0,,,,,,St. Thomas,,,,,1793-MPA-46-6-StThomasAcctBook-1793-1821.json
1722,1057,Henny,1801-08-28,pay,,"By cash to Henny, widwife to Nan",account book,,,0.15.0,,,,,,St. Thomas,,,,,1793-MPA-46-6-StThomasAcctBook-1793-1821.json
1722,1057,Henny,1802-02-15,pay,,"By do to Henny for midwifry 15/, do. 15/ lent to do ",account book,,,1.10.0,,,,,,St. Thomas,,,,,1793-MPA-46-6-StThomasAcctBook-1793-1821.json
1722,1057,Henny,1802-08-07,pay,,"By do to Henny for delivering Betsy, Jenny & Grace          $6 ",account book,,,2.5.0,,,,,,St. Thomas,,,,,1793-MPA-46-6-StThomasAcctBook-1793-1821.json
1722,1057,Henny,1803-09,pay,,By Cash to Henny for deliverying Grace's Harry & Mary's Katy $4 ,account book,,,1.10.0,,,,,,St. Thomas,,,,,1793-MPA-46-6-StThomasAcctBook-1793-1821.json
1722,1057,Henny,1804-02-19,pay,,"By cash to Henny for delivering Bob's Mary; Jenny's Liza [?], Betsy's Lucy & Monica's Nora   $8",account book,,,3.0.0,,,,,,St. Thomas,,,,,1793-MPA-46-6-StThomasAcctBook-1793-1821.json
1722,1057,Henny,1805-02-21,pay,,By do to Henny for midwifery of 2 women,account book,,,1.10.0,,,,,,St. Thomas,,,,,1793-MPA-46-6-StThomasAcctBook-1793-1821.json
1722,1057,Henny,1805-12-19,pay,,By do to Henny for delivering the two Marys @ $2,account book,,,1.10.0,,,,,,St. Thomas,,,,,1793-MPA-46-6-StThomasAcctBook-1793-1821.json
1722,1057,Henny,1808-02-23,pay,,By ditto old Henny for as midwife ,account book,,,4,,,,,,St. Thomas,,,,,1793-MPA-46-6-StThomasAcctBook-1793-1821.json
,,midwife,1813-04-26,pay,,By Cash pd midwife and Collars,account book,,,3,,,,,,St. Thomas,,,,,1793-MPA-46-6-StThomasAcctBook-1793-1821.json
1722,1057,Henny,1814-04-06,pay,,By Cash pd Old Henny as midwife ,account book,,,2,,,,,,St. Thomas,,,,,1793-MPA-46-6-StThomasAcctBook-1793-1821.json
1722,1057,Henny,1815-03-02,pay,,Henny as midwife: $2,account book,,,2,,,,,,St. Thomas,,,,,1793-MPA-46-6-StThomasAcctBook-1793-1821.json
,,midwife,1818-10-05,pay,,By ditto for midwife,account book,,,2,,,,,,St. Thomas,,,,,1793-MPA-46-6-StThomasAcctBook-1793-1821.json
,,midwife,1819-06-14,pay,,by ditto pd midwife,account book,,,2,,,,,,St. Thomas,,,,,1793-MPA-46-6-StThomasAcctBook-1793-1821.json
,,midwife,1820-05-01,pay,,By ditto for midwife,account book,,,2,,,,,,St. Thomas,,,,,1793-MPA-46-6-StThomasAcctBook-1793-1821.json
1722,1057,Henny,1821-01-23,pay,,By ditto pd Henny for midwifery,account book,,,4,,,,,,St. Thomas,,,,,1793-MPA-46-6-StThomasAcctBook-1793-1821.json
,,midwife,1825-03-06,pay,,Cash pd Mid-wife for 2 children,account book,,,4,,,,,,St. Thomas,,,,,1820-MPA-46-4-StThomasAcctBk-1820-1824.json
