bio:participant,Identifier,dcterms:title,Title,bio:date,dcterms:type,dcterms:description,Type,foaf:age ,schema:value ,schema:location ,SJ,relationship:knowsOf ,SJ,relationship:knowsOf ,dcterms:source ,dcterms:source 
1558,4069,"1838, Garvis, inventory",Garvis,1838,inventory,married off (Charles or Jarvis in bill of sale),inventory,60,,6,,,Henry Johnson,,http://slaveryarchive.georgetown.edu/items/show/14,
1132,4091,"1838, Nelly (Hawkins) Adamy, inventory",Nelly (Hawkins) Adamy,1838,inventory,,inventory,38,,6,,,Henry Johnson,,http://slaveryarchive.georgetown.edu/items/show/14,
1749,4096,"1838, Charles Hawkins, inventory",Charles Hawkins,1838,inventory,ran away,inventory,40,,6,,,Henry Johnson,,http://slaveryarchive.georgetown.edu/items/show/14,
1212,4112,"1838, Simon, inventory",Simon,1838,inventory,,inventory,20,,6,,,,,,
1758,4113,"1838, Ned, inventory",Ned,1838,inventory,,inventory,45,,6,,,,,,
1759,4114,"1838, Rachel , inventory",Rachel ,1838,inventory,,inventory,43,,6,,,,,,
1763,4120,"1838, Billy, inventory",Billy,1838,inventory,Married off,inventory,40,,6,,,Henry Johnson,,http://slaveryarchive.georgetown.edu/items/show/14,
1678,4121,"1838, Sally, inventory",Sally,1838,inventory,,inventory,65,,6,,,Henry Johnson,,http://slaveryarchive.georgetown.edu/items/show/14,
1219,4133,"1838, Cornelius (Hawkins), inventory",Cornelius (Hawkins),1838,inventory,"surname inferred from bill of sale by family; son of Nelly, not Patick and Letty",inventory,13,,6,,,Jesse Batey,,http://slaveryarchive.georgetown.edu/items/show/13,
1220,4137,"1838, Louisa, inventory",Louisa,1838,inventory,,inventory,14,,6,,,,,,
1655,4154,"1838, Isaac Hawkins, I , inventory","Isaac Hawkins, I ",1838,inventory,surname inferred from bill of sale (64) by family,inventory,65,,6,,,Henry Johnson,,http://slaveryarchive.georgetown.edu/items/show/14,
1224,4158,"1838, Francis Hawkins, inventory",Francis Hawkins,1838,inventory,surname inferred from bill of sale by family,inventory,12,,6,,,Jesse Batey,,http://slaveryarchive.georgetown.edu/items/show/13,
1774,4159,"1838, Patrick Hawkins, inventory",Patrick Hawkins,1838,inventory,Surname from bill of sale,inventory,35,,6,,,Jesse Batey,,http://slaveryarchive.georgetown.edu/items/show/13,
1228,4168,"1838, Susan Hawkins, inventory",Susan Hawkins,1838,inventory,surname inferred from bill of sale by family,inventory,10,,6,,,Jesse Batey,,http://slaveryarchive.georgetown.edu/items/show/13,
1229,4172,"1838, Cecilia (Hawkins) Adamy, inventory",Cecilia (Hawkins) Adamy,1838,inventory,,inventory,8,,6,,,Henry Johnson,,http://slaveryarchive.georgetown.edu/items/show/14,
1231,4179,"1838, Martha, inventory",Martha,1838,inventory,ran away,inventory,10,,6,,,Henry Johnson,,http://slaveryarchive.georgetown.edu/items/show/12,
1782,4180,"1838, Harriet, inventory",Harriet,1838,inventory,married to freeman (James Queen),inventory,43,,6,,,,,,
1784,4185,"1838, Regis [strike through], inventory",Regis [strike through],1838,inventory,carpenter,inventory,28,,6,,,,,,
2067,4191,"1838, Kitty Hawkins, inventory",Kitty Hawkins,1838,inventory,surname inferred from bill of sale (64) by family,inventory,28,,6,,,Henry Johnson,,http://slaveryarchive.georgetown.edu/items/show/12,
1657,4193,"1838, Isaac Hawkins, II, inventory","Isaac Hawkins, II",1838,inventory,illegible,inventory,26,,6,,,White Marsh,,,
1237,4197,"1838, Ruthy (Hawkins) Adamy, inventory",Ruthy (Hawkins) Adamy,1838,inventory,,inventory,6,,6,,,Henry Johnson,,http://slaveryarchive.georgetown.edu/items/show/14,
1238,4198,"1838, Nancy , inventory",Nancy ,1838,inventory,,inventory,5,,6,,,Henry Johnson,,http://slaveryarchive.georgetown.edu/items/show/14,
1789,4200,"1838, Minty, inventory",Minty,1838,inventory,married to freeman,inventory,26,,6,,,Henry Johnson,,http://slaveryarchive.georgetown.edu/items/show/14,
1239,4202,"1838, Austin Hawkins, inventory",Austin Hawkins,1838,inventory,surname inferred from bill of sale (64) by family,inventory,6,,6,,,Henry Johnson,,http://slaveryarchive.georgetown.edu/items/show/12,
1240,4204,"1838, Martha (Queen), inventory",Martha (Queen),1838,inventory,,inventory,5,,6,,,,,,
1790,4205,"1838, Sally Queen, inventory",Sally Queen,1838,inventory,,inventory,44,,6,,,,,,
1794,4213,"1838, Richard, inventory",Richard,1838,inventory,,inventory,38,,6,,,Henry Johnson,,http://slaveryarchive.georgetown.edu/items/show/14,
