ID,Label
5002,Regis
5003,Jacob
5004,Bill 
5006,John
5007,Nancy
5008,infant child
5009,Polly
5010,infant child
5011,Minty
5012,Lucy
5013,Barney
5014,Joe
5016,Philis
5017,Maria
5018,Prue
5019,James  
5020,Tom
5021,Twin boy 1
5022,Twin boy 2
5023,Moll 
5024,David
5026,Peg
5027,Kate
5028,Kate's child 1
5029,Kate's child 2
5030,Woman
5031,Child
5032,James
5034,Jim
5036,Jerry
5037,Bill 
5038,Little Girl
5039,Esther
5040,Kate
5041,Jonathan
5042,Bob
5043,Nell
5044,Perry
5045,Martha
5046,Sarah
5047,Jerry
5048,Mary
5049,Hannah
5050,Issac
5051,Pat
5052,Henny
5053,Jemima
5054,William
5055,Barny S.
5056,Bill 
5057,Barny  
5058,Stephen
5059,Dick 
5060,Luke
5061,Charles
5062,Jack
5063,Lucy
5064,Fanny
5065,Jenny
5066,Dennis
5068,Patrick
5069,Amilia
5070,Nelly
5071,John
5072,Joseph
5073,Ralph
5074,Old Ralph
5075,Ned
5076,Rachel
5077,Davis
5078,Pady
5079,Davy
5080,Suky
5081,Man
5082,Man
5083,Jacky
5085,Poll 
5086,Sarah
5087,Jus
5088,Jakes Wife
5089,Diana
5090,Bitty
5091,Nell
5092,Tom
5093,Abigail
5094,Betty (Charles’ wife)
5095,Betty
5096,Bid
5097,Bob
5098,Clara
5099,David
5100,Theresia
5101,Prisca
5102,Jake 
5103,Jany
5104,Philis
5105,Jacob
5110,Dick
5111,Stephen
5500,Dina
NJ006,Harry
