ID,Label
2000,Abraham
2001,Boy
2100,Person
2101,Person
2102,Person
2103,Person
2104,Person
2105,Person
2106,Person
2107,Person
2108,Person
2109,Person
2110,Person
2111,Person
2112,Person
2113,Person
2114,Husband
2200,Sam
2201,Stephen
2202,Ned
2203,Joseph
2204,Poll
2205,Philis
2206,Melly
2207,Poll�۪s child
2208,Ralph
2209,Nace
2210,Jim
2211,Ned
2212,Man
2213,Man
2214,Man
2215,Woman
2216,Woman
2217,Child
2218,Child
2219,Child
2220,Child
2221,Child
2222,Child
2223,Arnold
2224,Old Billy
2225,Old Sucky
2226,Old Matthew
2227,Little Sucky
2228,Old Nacy
2229,Old Nacy�۪s wife
2230,Old Tom
2231,Nacy
2232,Nacy�۪s wife
2233,Stephen
2234,Unhappy Girl
2235,Lewis
2236,Sam
2237,Hilary
2238,Liddy
2239,Woman
2240,Harrison
2241,Clem
2243,John
2244,Michael
2245,Ned
2246,Isaac
2247,Bill
2248,Regis
2249,Basil
2250,Venus
2251,Nelly
2253,Katy
2254,Bob
2256,Little Charly
2257,Frederick
2258,Little Harry
2259,Jack
2260,Sam
2261,Wot
2262,Betty
2264,Fil
2265,Old Suckey
2266,Biby
2267,Dick
2269,Lee
2270,Kitty
2271,Betty
2272,Daniel
2273,Little Nelly
2274,Mary
2275,Gabe
2276,Big Harry
2277,Frederick
2278,Gran. Ann
2279,Nelly Aston
2280,Big Anny
2281,Sally
2282,Dolly
2283,Moses
2284,Jim
2285,Nelly
2286,George
2287,Peter
2288,Henry
2289,Billy
2290,Jac
2291,Judy
2292,Big Nelly
2293,Enoch
2294,Tom
2400,Abram
2401,Adelene
2402,Alexander
2403,Ann
2404,Anna
2406,Anna
2407,Anna
2408,Augustin
2410,Basil
2411,Benedict
2412,Bernard
2415,Betty
2417,Biba
2418,Bill
2419,Bill
2421,Bridget
2422,Bridget
2423,Caroline
2424,Charles
2425,Charles
2426,Charlotte
2427,Charlotte
2429,Dick
2431,Dorsey
2432,Eliza
2433,Eliza
2434,Ellen Amanda
2435,Emeline
2436,Emily
2438,Ezekial
2439,Frank
2444,Ginny
2445,Gullet [?]
2446,Harry
2447,Harry
2448,Harry
2449,Henny
2450,Henny
2452,Ignatius
2453,Ignatius
2454,Infant
2455,Infant
2457,James
2458,Jenny
2461,Joe
2462,Judah
2463,Judd
2464,Juezar [?]
2465,Leonard
2466,Lewis
2467,Little Bob
2468,Mary Jane (Little Mary)
2469,Little Nace
2470,Lucinda
2471,Luck
2472,Lydia
2473,Maria
2474,Martha
2475,Mary
2476,Mary
2477,Matthew
2479,Nathan
2480,Nelley
2481,Nelly
2482,Old Caty
2484,Paul
2486,Peter
2487,Philip
2488,Phill
2490,Regis
2491,Sally
2492,Sam
2493,Saml
2494,Sookey
2495,Sookey
2496,Susan Ann
2497,Teresa
2498,Trecy
2499,Will
2500,Young Harry
2600,Louisa
8176,Gabe
8178,Henry
8179,Thomas
8180,Mary 
8181,John Lewis
8184,Amanda
8185,Elizabeth
8186,Billy
8187,Biby
8188,Hariet Eagline
8189,Robert
8192,Robert
8197,Sally Anne
8198,Nelly
8199,Charles
8200,Child
8218,Arnold Jones
8219,Louisa
8220,Betsy Dorsey
8221,Baney
8223,Greenfield
8224,Daniel
8230,Rachel
8233,Emeline
8234,Watt
8235,Child
8239,Ginny
8240,Catherine
8241,Child (Maria - 9 months)
8251,Alexius
8255,Girl
8258,Henny [strike through]
