ID,Label
1072,George
1098,Nathaniel
1099,Henny
1100,Cristina
1101,Dolly
1102,Jinny Daniel
1103,Jinny Charles
1104,Old Charles
1105,Tracy
1106,Clair
1107,Mary
1108,Henny
1109,Matthew
1110,Matilda
1111,Daniel
1112,Margaret
1113,Nace
1114,Len
1115,Len
1116,Benedict
1117,Eliza
1119,Forrest
1120,Sarah
1121,Catherine
1122,George
1123,Jane
1124,John Francis
1125,Little Sam
1126,Clement
1127,Anny
1128,Sarah Ann Elizabeth
1129,Kenny
1130,Hillen
1131,Harriet
1132,Henry
1133,Katey
1134,Lewis
1135,Anna
1136,Judith
1139,Gabriel Isaac
1140,Theresia
1141,Matilda Ann
1142,Robert
1143,Stephen
1144,Mary
1145,Maria
1146,Alan
1147,Peggy
1148,Anne
1149,George
1150,John Butler
1151,Charles
1152,Man
1153,Steven
1154,Woman
1155,Child
1156,Henrietta
1157,Sam
1158,John Coyle
1159,Ann Cross
1160,Calista
1161,Ally
1162,Nancy
1163,Harry
1164,Tom
1166,Little Tracy
1170,Jane
8092,Charles
8098,George Harris
8102,Bernard Butler
8103,William
8105,Jim Blair
8107,Francis
8110,Betsy
8115,Celestia
8117,Louisa
8119,Mary
8120,Mary 
8121,Jinny
8300,Boy (Charles - 1)
8301,Boy (Sam - 1)
8302,Girl (Nance - 8)
8303,Eliza
8304,Girl (Ellen - 4) 
8305,Girl (Martha - 2)
8307,Girl
8308,Girl
8309,Boy (Oswald - 5)
8311,Girl
8312,Boy
8313,Boy
8314,Girl
8315,Girl
8316,Girl
