ID,Label
6000,Mary
6001,Monica
6003,John
6004,Jaen
6005,Rose
6006,Ignatius
6007,Abraham
6008,Anastasia
6009,Moises
6010,Benjamin
6011,George
6012,Veronica
6013,Mary Anne
6014,Agnes
6015,Dreaden
6016,Henry
6017,Jacob
6018,Philip Carter
6019,Lucy
6020,Susanna
6021,Clare
6022,Prudence
6023,Henrietta
6024,Cecilia
6025,Chedrick
6026,Francis
6027,Isaac
6028,William
6029,Peg 
6030,Bernard
6031,Clare
6032,Ben Sr.
6033,Nel 
6034,James  
6035,Suck
6036,Judith
6037,Clem
6038,Teresia
6039,Ben Jr.
6040,Jim
6041,Jane
6042,Jenny
6043,Peggy
6044,Betty Jacob
6045,Jacob
6046,Gery
6047,Gim (Jim?)
6049,Ragis 
6050,Ginne
6051,Jasper
6052,Hal
6055,George
6057,John
6061,Heney
6062,Hal
6066,John
6067,Gene
6068,Henny
6069,Mary
6070,John
6071,Harry
6072,Dina
6073,Bill
6075,Abram
6076,Susan 
6077,Biby
6078,Perry
6079,Jarret
6080,Charlotte
6081,Mary
6082,Julian
6083,Dick
6084,Grinfield
6085,Joe
6086,Esther
6087,Rosanne
6088,James  
6091,Ferdinand
6092,Sylvester
6093,Cristina
6094,Harriet
6095,Emeline
6096,Henry
6097,Eleanor
6098,Mary
6099,Lucrese
6100,Ritta
6101,Remus
6102,Miley
6103,Lucy
6104,Ann
6105,Joe
6106,Mary Jane
6107,Mary
6108,Alexius
6109,Priscilla
6110,Nicholas
6111,Sarah
6113,Woman
6114,Mary
6115,Child
6117,Man
6118,Jim
6119,Person
6120,Person
6121,Gabe
6122,George
6123,Flora
6124,Anna
6125,Tony
6126,Henrietta (Retta)
6127,Charles
6128,Michael
6129,Rebecca
6130,Judith
6131,William
6132,Raphael
6133,Peter
6134,Jacob
6135,Stephen
6136,Francis
6138,Clare
6141,Bennet
6142,Mary
6143,Sarah
6144,Elizabeth
6145,Old Jenny
6147,William
6148,Agnes
6149,Mary
6150,James
6151,Abram
6152,Lucy
6153,Catharine
6154,Nicholas
6155,Ann
6158,Clare
6160,Jane
6161,Rachel
6162,James
6163,Clem
6164,Ruth
6165,Betsy
6166,Rhode
6167,Jack
6168,Sam
6169,Nace
6171,William
6172,Jesse
6173,Jem
6174,Jery
6175,Charles
6176,Nelly
6177,Harry
6178,John Leonard Ferdinand
6179,Henry Rea
6180,Robert James
6181,Nelly
6182,William
6183,Jane
6185,Mary Ann
6186,Henry
6187,Rosanna
6188,Harriet
6189,John Henry
6191,Louisa
6192,Thomas
6193,James Henry
6194,Harry
6195,Elizabeth
6196,Bett 
8132,Betty
8155,Susanna
8160,Luncina 
8161,Dina
8162,Peg
8164,Child of 1
8165,Child of 2 years old
7097,Harry
7131,Eliza
7132,Henry
7133,Henry
7134,Henry
7135,Nicholas
7136,Mary
7137,Mary
PC031,Sally
PC032,Cecilia Adams
PC033,Sarah
